action,order_id,instrument,side,price,quantity
ADD,O1,AAPL,BUY,10000,100
ADD,O2,AAPL,SELL,10100,80
ADD,M1,MSFT,BUY,42000,150
ADD,M2,MSFT,SELL,42050,90
ADD,N1,NVDA,BUY,120000,30
ADD,N2,NVDA,SELL,120100,25
ADD,O3,AAPL,BUY,9995,200
ADD,M3,MSFT,BUY,41990,60
REPLACE,O1,AAPL,BUY,10005,120
ADD,N3,NVDA,BUY,119950,40
REMOVE,O2,AAPL,SELL,10100,80
ADD,O4,AAPL,SELL,10110,70
REPLACE,M2,MSFT,SELL,42040,100
ADD,N4,NVDA,SELL,120200,15
REMOVE,M3,MSFT,BUY,41990,60
ADD,M4,MSFT,BUY,42010,200
REPLACE,N1,NVDA,BUY,120050,50
REMOVE,N3,NVDA,BUY,119950,40
ADD,O5,AAPL,SELL,10105,90
